Date,Total_cases,Daily_cases,3_day _moving_average_cases,7_day_moving_average_cases,Currently_Infected,Total_Deaths,Daily_Deaths,3_day_moving_average_deaths,3_day_moving_average_deaths
2/15/2020,0,null,null,null,0,0,null,null,null
2/16/2020,0,null,null,null,0,0,null,null,null
2/17/2020,0,null,null,null,0,0,null,null,null
2/18/2020,0,null,null,null,0,0,null,null,null
2/19/2020,0,null,null,null,0,0,null,null,null
2/20/2020,0,null,null,null,0,0,null,null,null
2/21/2020,0,null,null,null,0,0,null,null,null
2/22/2020,0,null,null,null,0,0,null,null,null
2/23/2020,0,null,null,null,0,0,null,null,null
2/24/2020,0,null,null,null,0,0,null,null,null
2/25/2020,0,null,null,null,0,0,null,null,null
2/26/2020,0,null,null,null,0,0,null,null,null
2/27/2020,0,null,null,null,0,0,null,null,null
2/28/2020,0,null,null,null,0,0,null,null,null
2/29/2020,0,null,null,null,0,0,null,null,null
3/1/2020,0,null,null,null,0,0,null,null,null
3/2/2020,0,null,null,null,0,0,null,null,null
3/3/2020,1,null,null,null,1,0,null,null,null
3/4/2020,1,0,null,null,1,0,0,null,null
3/5/2020,1,0,0,null,1,0,0,null,null
3/6/2020,1,0,0,null,1,0,0,null,null
3/7/2020,1,0,0,0,1,0,0,null,null
3/8/2020,1,0,0,0,1,0,0,null,null
3/9/2020,1,0,0,0,1,0,0,null,null
3/10/2020,1,0,0,0,1,0,0,null,null
3/11/2020,1,0,0,0,1,0,0,null,null
3/12/2020,3,2,1,0,3,0,0,null,null
3/13/2020,3,0,0,1,2,1,1,null,null
3/14/2020,3,0,1,0,2,1,0,null,null
3/15/2020,3,0,0,0,2,1,0,0,null
3/16/2020,7,4,1,1,6,1,0,0,null
3/17/2020,14,7,4,2,12,2,1,0,0
3/18/2020,16,2,4,2,14,2,0,1,0
3/19/2020,26,10,7,3,23,3,1,0,1
3/20/2020,41,15,9,6,37,3,0,1,0
3/21/2020,47,6,10,6,43,3,0,0,0
3/22/2020,73,26,16,10,69,3,0,0,0
3/23/2020,73,0,10,9,69,3,0,0,1
3/24/2020,102,29,19,13,98,3,0,0,0
3/25/2020,145,43,24,18,139,5,2,1,0
3/26/2020,196,51,41,25,190,5,0,0,1
3/27/2020,310,114,69,38,300,5,0,1,0
3/28/2020,356,46,70,44,342,9,4,1,1
3/29/2020,475,119,93,58,459,10,1,2,1
3/30/2020,548,73,80,68,527,13,3,3,1
3/31/2020,645,97,96,77,618,17,4,2,2
4/1/2020,794,149,106,93,761,20,3,4,2
4/2/2020,897,103,117,100,856,22,2,3,3
4/3/2020,1072,175,142,109,1023,27,5,3,3
4/4/2020,1225,153,144,124,1168,32,5,4,3
